barcode,item,new_desc,price,source
EXTNLEAD240V10A-0319,EXTNLEAD240V10A-0319,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0575,EXTNLEAD240V10A-0575,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0650,EXTNLEAD240V10A-0650,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0668,EXTNLEAD240V10A-0668,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0768,EXTNLEAD240V10A-0768,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0221,EXTNLEAD240V10A-0221,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0238,EXTNLEAD240V10A-0238,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0577,EXTNLEAD240V10A-0577,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0708,EXTNLEAD240V10A-0708,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0571,EXTNLEAD240V10A-0571,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0600,EXTNLEAD240V10A-0600,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0352,EXTNLEAD240V10A-0352,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0338,EXTNLEAD240V10A-0338,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0569,EXTNLEAD240V10A-0569,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0674,EXTNLEAD240V10A-0674,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0709,EXTNLEAD240V10A-0709,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V15A-0433,EXTNLEAD240V15A-0433,15 A Extension Lead,121.95,https://www.jettindustrial.com.au/extension-lead-heavy-duty-25mm-15-amp-x-20m
EXTNLEAD240V10A-0426,EXTNLEAD240V10A-0426,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0590,EXTNLEAD240V10A-0590,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0633,EXTNLEAD240V10A-0633,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0592,EXTNLEAD240V10A-0592,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
